video_id,title,published_at,views,likes,comments,year,league,engagement_rate,snapshot_date
IKdktZ15gi0,Top 10 Plays of Game 2 Best-Of-5 Semifinals,2018-08-29 06:20:56+00:00,2089,39,4,2018,WNBA,0.0206,2026-05-26T15:33:24.987933
NQDYRgjLQCI,Brittney Griner&#39;s BEST Buckets in Game 2,2018-08-29 05:30:53+00:00,3883,42,13,2018,WNBA,0.0142,2026-05-26T15:33:24.987933
DDTco2QvXM0,Breanna Stewart&#39;s BEST Buckets From Game 2,2018-08-29 05:28:18+00:00,1520,31,2,2018,WNBA,0.0217,2026-05-26T15:33:24.987933
2zidi0tIoc0,Diana Taurasi Q4 Buckets in Game 2,2018-08-29 05:26:23+00:00,10090,114,17,2018,WNBA,0.013,2026-05-26T15:33:24.987933
Mv7b4nDrp9o,"Sue Bird Records 19 PTS, 6 AST to put Storm Up 2-0",2018-08-29 05:23:50+00:00,17046,259,6,2018,WNBA,0.0155,2026-05-26T15:33:24.987933
iI701E5SFX4,"Tiffany Hayes Notches 17 PTS, 6 AST in Game 2 Win",2018-08-29 03:06:32+00:00,624,22,1,2018,WNBA,0.0369,2026-05-26T15:33:24.987933
kOI8um2TFnA,Alex Bentley Drops 22 PTS in Game 2 Win,2018-08-29 02:48:36+00:00,1758,36,2,2018,WNBA,0.0216,2026-05-26T15:33:24.987933
2n9XAQDTqME,Breland Records Franchise Record with 7 BLKS in G2,2018-08-29 02:38:42+00:00,632,26,2,2018,WNBA,0.0443,2026-05-26T15:33:24.987933
DGMq7fyV91c,Full Game Highlights | MVP Stewart&#39;s 28 PTS Give Storm 1-0 Series Lead Over Mercury,2018-08-27 16:43:40+00:00,6945,103,5,2018,WNBA,0.0156,2026-05-26T15:33:24.987933
V9dGi9-Co5c,Full Game Highlights | Mystics Take Semis Game 1 In ATL,2018-08-27 15:17:43+00:00,1905,47,7,2018,WNBA,0.0283,2026-05-26T15:33:24.987933
drrdaLaV3Xk,Top 10 Plays of the Day,2018-08-27 01:13:53+00:00,1328,42,0,2018,WNBA,0.0316,2026-05-26T15:33:24.987933
2NQo14wNeV4,Taurasi &amp; Bonner Game 1 Highlights,2018-08-27 01:05:57+00:00,1834,34,1,2018,WNBA,0.0191,2026-05-26T15:33:24.987933
0tTYuioYbsY,"Stewart, Loyd, Howard Record 20+ PTS",2018-08-27 00:34:22+00:00,2216,36,3,2018,WNBA,0.0176,2026-05-26T15:33:24.987933
pbPSV7HePVM,Breanna Stewart Game 1 Highlights,2018-08-27 00:25:08+00:00,4448,68,8,2018,WNBA,0.0171,2026-05-26T15:33:24.987933
0rkO-LMauQg,Sue Bird Dishes 10 Assists in Game 1,2018-08-27 00:23:04+00:00,4310,92,11,2018,WNBA,0.0239,2026-05-26T15:33:24.987933
cPCAaF1yjIQ,Bentley and Williams Best Buckets vs. Mystics,2018-08-26 22:53:38+00:00,609,28,5,2018,WNBA,0.0542,2026-05-26T15:33:24.987933
BTC_L5UHwBc,EDD Propels Mystics to Game 1 Win,2018-08-26 22:40:36+00:00,1475,63,32,2018,WNBA,0.0644,2026-05-26T15:33:24.987933
78Zc2e5QDMU,"Full Game Highlights | DT, BG, Bonner Prove To Be Too Much For Sun",2018-08-24 16:05:37+00:00,1848,54,5,2018,WNBA,0.0319,2026-05-26T15:33:24.987933
FR5MjvVbVkw,"Full Game Highlights | EDD, Mystics Punch Their Ticket To Semis",2018-08-24 15:52:50+00:00,4643,88,1,2018,WNBA,0.0192,2026-05-26T15:33:24.987933
2XWYF5rfGB4,Top 10 Plays Of The Night,2018-08-24 04:51:04+00:00,1497,56,2,2018,WNBA,0.0387,2026-05-26T15:33:24.987933
UADyqMV4vQ8,Mercury Trio Record 77 PTS,2018-08-24 04:10:27+00:00,3916,70,4,2018,WNBA,0.0189,2026-05-26T15:33:24.987933
oV8xJ82WH7I,Brittney Griner&#39;s 2nd Round Highlights,2018-08-24 04:05:25+00:00,2321,41,1,2018,WNBA,0.0181,2026-05-26T15:33:24.987933
FM07ogc07tw,Washington Mystics Starters 2nd Round Highlights,2018-08-24 04:02:08+00:00,765,27,1,2018,WNBA,0.0366,2026-05-26T15:33:24.987933
le5mhrcx8H8,Best of Candace Parker From 2nd Round,2018-08-24 01:26:13+00:00,2717,64,10,2018,WNBA,0.0272,2026-05-26T15:33:24.987933
uMoMfOQGbYM,"Full Game Highlights | Taurasi, Bonner Lead Mercury Past Wings",2018-08-22 17:06:04+00:00,6750,90,3,2018,WNBA,0.0138,2026-05-26T15:33:24.987933
dSkmTHV6UhY,Full Game Highlights | Gray Powers Sparks Over Lynx In Finals Rematch,2018-08-22 17:05:13+00:00,3434,63,1,2018,WNBA,0.0186,2026-05-26T15:33:24.987933
m-G1LotnTBk,Maya Moore and Sylvia Fowles 1st Round Highlights,2018-08-22 05:51:36+00:00,2853,49,2,2018,WNBA,0.0179,2026-05-26T15:33:24.987933
oIqDI9prgp4,Lindsay Whalen 1st Round Highlights,2018-08-22 05:45:08+00:00,3243,34,1,2018,WNBA,0.0108,2026-05-26T15:33:24.987933
snKRrKMkhZc,Riquna Williams 1st Round Highlights,2018-08-22 05:41:48+00:00,934,14,3,2018,WNBA,0.0182,2026-05-26T15:33:24.987933
5iAqMd4xQTA,Nneka Ogwumike 1st Round Highlights,2018-08-22 05:34:38+00:00,1022,32,1,2018,WNBA,0.0323,2026-05-26T15:33:24.987933
XrispvF88DM,Chelsea Gray 1st Round Highlights,2018-08-22 05:31:02+00:00,7405,98,5,2018,WNBA,0.0139,2026-05-26T15:33:24.987933
UbcIfiqtYHc,Diana Taurasi 1st Round Highlights,2018-08-22 04:21:43+00:00,12944,202,20,2018,WNBA,0.0172,2026-05-26T15:33:24.987933
fcrlM-pA-e4,Skylar Diggins-Smith 1st Round Highlights,2018-08-22 04:18:00+00:00,49286,370,33,2018,WNBA,0.0082,2026-05-26T15:33:24.987933
be4mSbpZTGk,Liz Cambage 1st Round Playoff Highlights,2018-08-22 04:13:49+00:00,9809,110,4,2018,WNBA,0.0116,2026-05-26T15:33:24.987933
8rfD-5YLTYA,DeWanna Bonner 1st Round Playoff Highlights with Postgame Interview,2018-08-22 03:32:47+00:00,2468,41,7,2018,WNBA,0.0194,2026-05-26T15:33:24.987933
FUzdtCfiDS0,Best of Candace Parker&#39;s Rookie Season,2018-08-21 23:28:19+00:00,12833,302,24,2018,WNBA,0.0254,2026-05-26T15:33:24.987933
j5dc03BX160,Best of Lynx vs. Sparks 2016-2018,2018-08-21 23:23:10+00:00,695,36,1,2018,WNBA,0.0532,2026-05-26T15:33:24.987933
d-0JcsbV-dk,Jasmine Thomas Drops 21 PTS As Connecticut Secure 4-Seed,2018-08-20 02:39:48+00:00,661,20,3,2018,WNBA,0.0348,2026-05-26T15:33:24.987933
NMrhbiSpyhg,Best of Lindsay Whalen&#39;s Career Clutch Moments,2018-08-20 02:38:36+00:00,18547,193,10,2018,WNBA,0.0109,2026-05-26T15:33:24.987933
xBJfUMa7LN0,A&#39;ja Wilson Drops 21 PTS In Final Game of Rookie Season,2018-08-20 02:26:05+00:00,1879,47,7,2018,WNBA,0.0287,2026-05-26T15:33:24.987933
4SSiZ3g2c1I,Breanna Stewart (22 PTS) Helps Storm Secure No. 1 Seed,2018-08-18 05:50:15+00:00,1960,65,3,2018,WNBA,0.0347,2026-05-26T15:33:24.987933
cBIKDWVQzfM,Liz Cambage Scores 43 Points As Wings Clinch Playoff Spot,2018-08-18 05:47:41+00:00,85840,654,64,2018,WNBA,0.0084,2026-05-26T15:33:24.987933
t-5yoQnjOfg,"A&#39;ja Wilson, Kayla McBride Combine for 34 PTS In Aces Win",2018-08-16 04:09:30+00:00,2233,68,9,2018,WNBA,0.0345,2026-05-26T15:33:24.987933
WXvh5psMLjQ,Elena Delle Donne Drops 25 PTS In Mystics Win vs. Fever,2018-08-16 04:08:53+00:00,1561,44,9,2018,WNBA,0.034,2026-05-26T15:33:24.987933
p0raX1Tps4E,Jonquel Jones Drops 27 To Power Sun Past Wings,2018-08-15 03:09:53+00:00,703,23,3,2018,WNBA,0.037,2026-05-26T15:33:24.987933
Df1YMMm5Hjw,Essence Carson&#39;s Top Plays This Season,2018-08-13 22:56:23+00:00,2385,56,7,2018,WNBA,0.0264,2026-05-26T15:33:24.987933
9dLnkiHqk3k,DeWanna Bonner Scores Season-High 31 Points vs. Sparks,2018-08-13 01:39:12+00:00,4322,76,4,2018,WNBA,0.0185,2026-05-26T15:33:24.987933
0uolhs3ZGWY,"Jonquel Jones Scores 17 PTS, 15 REB Off-the-Bench vs. Sky",2018-08-12 23:24:03+00:00,347,18,0,2018,WNBA,0.0519,2026-05-26T15:33:24.987933
aDl0nCpzHtU,Renee Montgomery Sets Dream Record For 3PT FG Made In Single Season,2018-08-12 23:23:13+00:00,7742,144,11,2018,WNBA,0.02,2026-05-26T15:33:24.987933
XDj-y237Scs,Renee Montogmery Hits EIGHT Three&#39;s Against Liberty,2018-08-12 23:22:32+00:00,940,43,3,2018,WNBA,0.0489,2026-05-26T15:33:24.987933
pINc5L_H3JM,"Plum, Wilson &amp; McBride Combine For 57 Points vs. Fever",2018-08-12 05:16:49+00:00,10797,152,8,2018,WNBA,0.0148,2026-05-26T15:33:24.987933
T0CTUN3FY1Y,Diana Taurasi and Stephanie Talbot Combine for 28 PTS vs. Fever,2018-08-11 04:35:54+00:00,1582,37,3,2018,WNBA,0.0253,2026-05-26T15:33:24.987933
EWumH75J0aY,Maya Moore Drops HUGE 34 PTS As Lynx Win And Clinch Playoffs,2018-08-10 04:50:50+00:00,6065,163,15,2018,WNBA,0.0293,2026-05-26T15:33:24.987933
YIp-DfOFIM0,"Jessica Breland Tallies Near Double-Double (19 PTS, 9 REB), Leads Dream to Win",2018-08-10 04:38:52+00:00,1015,26,5,2018,WNBA,0.0305,2026-05-26T15:33:24.987933
